Wall time,Step,Value
1681905946,180,31.28656006
1681905974,240,30.52927017
1681906050,400,31.196558
1681906059,420,31.23413467
1681906073,450,31.29043388
1681906125,560,31.71729851
1681906196,710,31.43317986
1681906210,740,31.52414703
1681906304,940,31.44012833
1681906342,1020,31.36291313
1681906361,1060,31.16450691
1681906448,1260,31.76474571
1681906568,1550,31.63467789
1681906580,1580,31.34330559
1681906617,1670,31.56232071
1681906662,1780,31.13744926
1681906682,1830,31.51026917
1681906690,1850,30.94116211
1681906725,1900,31.67153168
1681906908,2290,31.72365189
1681906931,2340,32.04135895
1681907002,2490,31.34019852
1681907030,2550,31.61984062
1681907054,2600,31.93183899
1681907087,2670,31.32034683
1681907115,2730,31.26449966
1681907206,2920,31.65190506
1681907282,3080,31.61653519
1681907291,3100,32.05344772
1681907329,3180,31.36087418
1681907386,3300,31.76617241
1681907429,3390,31.83756065
1681907468,3470,31.80495834
1681907544,3630,31.82612228
1681907563,3670,31.36616707
1681907826,4210,31.70153999
1681907829,4220,31.69132233
1681907878,4390,31.64564133
1681907886,4420,31.38889313
1681907895,4450,31.93520927
1681907938,4600,30.86487007
1681907947,4630,31.16646004
1681907950,4640,32.04505539
1681907979,4740,31.8528347
1681908034,4930,32.15154266
1681908095,5140,31.25275612
1681908144,5310,31.78320313
1681908159,5360,31.50916672
1681908244,5630,31.4179306
1681908272,5730,31.83128548
1681908289,5790,31.24972153
1681908309,5860,32.00219727
1681908312,5870,31.77529526
1681908355,6020,32.10814285
1681908407,6200,31.70563126
1681908413,6220,31.70754433
1681908447,6340,32.09537506
1681908467,6410,31.13980675
1681908470,6420,31.85367203
1681908476,6440,31.18558311
1681908484,6470,31.33740616
1681908490,6490,31.6434288
1681908524,6610,32.20425415
1681908553,6710,31.85610962
1681908602,6880,32.15348053
1681908676,7140,31.49053955
1681908687,7180,31.33742523
1681908699,7220,31.86634827
1681908722,7300,31.75132561
1681908748,7390,32.08705902
1681908759,7430,31.59090805
1681908792,7520,31.99498177
1681908803,7560,32.08918381
1681908829,7650,32.1946373
1681908845,7690,31.23727608
1681908856,7710,31.24804688
1681908866,7730,31.92385674
1681908901,7800,31.65175819
1681908926,7850,31.21786499
1681908935,7870,31.59355164
1681908959,7920,32.34699631
1681908969,7940,31.76958466
1681908988,7980,32.40859604
1681909007,8020,31.54757118
1681909038,8080,31.42676353
1681909043,8090,31.66996956
1681909159,8320,30.95388985
1681909179,8360,31.64940834
1681909345,8690,30.92540932
1681909380,8760,31.99272156
1681909409,8820,31.72496605
1681909476,8960,31.62161446
1681909496,9000,31.35486794
1681909531,9070,31.40408516
1681909541,9090,31.88942146
1681909571,9150,31.64905167
1681909581,9170,31.50850296
1681909649,9310,31.69600868
