Wall time,Step,Value
1681905946,180,0.75062722
1681905974,240,0.845400393
1681906050,400,0.736611903
1681906059,420,0.762248218
1681906073,450,0.748290837
1681906125,560,0.657750547
1681906196,710,0.737650216
1681906210,740,0.707708061
1681906304,940,0.70615232
1681906342,1020,0.740473092
1681906361,1060,0.777006388
1681906448,1260,0.679178238
1681906568,1550,0.674664676
1681906580,1580,0.717347622
1681906617,1670,0.652475178
1681906662,1780,0.754465699
1681906682,1830,0.701928437
1681906690,1850,0.755608082
1681906725,1900,0.684824944
1681906908,2290,0.713174164
1681906931,2340,0.654520631
1681907002,2490,0.707975745
1681907030,2550,0.672201753
1681907054,2600,0.682739198
1681907087,2670,0.724158347
1681907115,2730,0.751937211
1681907206,2920,0.69082284
1681907282,3080,0.722612798
1681907291,3100,0.656791806
1681907329,3180,0.728608727
1681907386,3300,0.659323335
1681907429,3390,0.634817243
1681907468,3470,0.669058919
1681907544,3630,0.621965885
1681907563,3670,0.742083609
1681907826,4210,0.703368306
1681907829,4220,0.659751236
1681907878,4390,0.711798549
1681907886,4420,0.745926738
1681907895,4450,0.643035829
1681907938,4600,0.806004584
1681907947,4630,0.790265024
1681907950,4640,0.640520334
1681907979,4740,0.698361754
1681908034,4930,0.648554206
1681908095,5140,0.741674721
1681908144,5310,0.704480767
1681908159,5360,0.717305958
1681908244,5630,0.693023086
1681908272,5730,0.692298591
1681908289,5790,0.732508659
1681908309,5860,0.668081939
1681908312,5870,0.713280499
1681908355,6020,0.653390408
1681908407,6200,0.679792285
1681908413,6220,0.687019169
1681908447,6340,0.666974843
1681908467,6410,0.757545114
1681908470,6420,0.684889913
1681908476,6440,0.720384002
1681908484,6470,0.731113195
1681908490,6490,0.701315582
1681908524,6610,0.674843967
1681908553,6710,0.693658233
1681908602,6880,0.634110689
1681908676,7140,0.710063338
1681908687,7180,0.733481407
1681908699,7220,0.685429037
1681908722,7300,0.662846506
1681908748,7390,0.639878929
1681908759,7430,0.720567524
1681908792,7520,0.672254801
1681908803,7560,0.662475944
1681908829,7650,0.660223126
1681908845,7690,0.763740778
1681908856,7710,0.731969416
1681908866,7730,0.649248004
1681908901,7800,0.710930943
1681908926,7850,0.717532992
1681908935,7870,0.703171551
1681908959,7920,0.637725174
1681908969,7940,0.699135184
1681908988,7980,0.612498641
1681909007,8020,0.687029123
1681909038,8080,0.757607579
1681909043,8090,0.726937056
1681909159,8320,0.798920393
1681909179,8360,0.703560591
1681909345,8690,0.750686824
1681909380,8760,0.6779024
1681909409,8820,0.69391185
1681909476,8960,0.700516224
1681909496,9000,0.700248003
1681909531,9070,0.697242975
1681909541,9090,0.68171829
1681909571,9150,0.678470731
1681909581,9170,0.690830112
1681909649,9310,0.647894502
1681909669,9320,0.736727059
1681909717,9420,0.668333352
1681909732,9450,0.695922434
1681909780,9540,0.695053101
1681909802,9580,0.677460372
1681909824,9620,0.724137187
1681909878,9710,0.699489057
1681909883,9720,0.730366886
1681909918,9780,0.746931791
1681909924,9790,0.754747331
1681909956,9840,0.67495513
1681910069,10020,0.729086816
1681910088,10050,0.695255458
1681910144,10140,0.660758734
1681910356,10440,0.720834672
1681910442,10570,0.708830178
1681910487,10630,0.720309854
1681910510,10660,0.705358505
1681910525,10680,0.635483861
1681910556,10720,0.670939863
1681910602,10780,0.707146287
1681910641,10830,0.642319441
1681910716,10930,0.706760049
1681910764,10990,0.64078927
1681910807,11040,0.699785233
1681910887,11140,0.708968759
1681911299,11560,0.646858692
1681911328,11600,0.679249406
1681911334,11610,0.664896309
1681911340,11620,0.722517133
1681911497,11800,0.69447881
1681911611,11930,0.720274866
1681911731,12060,0.683567941
1681911983,12320,0.665653288
1681912096,12440,0.738221884
1681912202,12550,0.771542072
1681912229,12580,0.700801551
1681912256,12610,0.676745832
1681912450,12810,0.672608912
1681912512,12870,0.629829645
1681912588,12940,0.655518711
1681912652,13000,0.712302506
1681912822,13160,0.684980392
1681912849,13190,0.694077492
1681912971,13300,0.719452262
1681913003,13330,0.681531072
1681913037,13360,0.703567207
1681913048,13370,0.691959739
1681913544,13850,0.720162511
1681913578,13880,0.744716942
1681913612,13910,0.70629102
1681913622,13920,0.740929723
1681913842,14140,0.633325696
1681913969,14260,0.671530008
1681913997,14280,0.687214315
1681914096,14360,0.770139635
1681914158,14400,0.613501012
1681914925,14650,0.720472872
1681914946,14660,0.696521521
1681917231,14770,0.73779124
1681917252,14850,0.686787844
1681917263,14890,0.701735675
